31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/Listbox' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/Listbox' added. (0AD1BDC8)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/Menubar' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/Menubar' added. (0AD1BE70)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/MenuItem' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/MenuItem' added. (0AD1BF18)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/MultiColumnList' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/MultiColumnList' added. (0AD1BFC0)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/MultiLineEditbox' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/MultiLineEditbox' added. (0AD1C068)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/PopupMenu' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/PopupMenu' added. (0AD1C110)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/ProgressBar' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/ProgressBar' added. (0AD1C1B8)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/ScrollablePane' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/ScrollablePane' added. (0AD1C260)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/Scrollbar' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/Scrollbar' added. (0AD1C308)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/Slider' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/Slider' added. (0AD1C3B0)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/Static' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/Static' added. (0AD1C458)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/StaticImage' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/StaticImage' added. (0AD1C500)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/StaticText' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/StaticText' added. (0AD1C5A8)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/SystemButton' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/SystemButton' added. (0AD1C650)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/TabButton' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/TabButton' added. (0AD1C6F8)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/TabControl' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/TabControl' added. (0AD1C7A0)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/Titlebar' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/Titlebar' added. (0AD1C848)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/ToggleButton' WindowRenderers.
31/01/2014 13:57:44 (Std) 	WindowRendererFactory 'Falagard/ToggleButton' added. (0AD1C8F0)
31/01/2014 13:57:44 (Std) 	Created WindowRendererFactory for 'Falagard/Tooltip' WindowRenderers.
